cow_id,lactation_number,event,calving_date
9794,2,BRED,2018-06-30
9797,2,BRED,2018-10-10
9799,2,BRED,2018-05-10
9799,3,BRED,2019-07-14
9807,2,BRED,2018-06-14
9807,3,BRED,2019-07-08
9812,2,BRED,2018-07-13
9814,2,BRED,2018-06-12
9818,2,BRED,2018-10-01
9821,3,BRED,2019-04-23
9822,3,BRED,2019-07-11
9823,3,BRED,2019-05-06
9833,1,BRED,2017-06-29
9835,2,BRED,2018-05-21
9837,2,BRED,2018-08-12
9838,2,BRED,2018-07-23
9841,3,BRED,2019-07-06
9843,3,BRED,2019-05-16
9845,2,BRED,2018-08-03
9846,2,BRED,2018-06-14
9847,2,BRED,2018-08-30
9848,2,BRED,2018-06-11
9853,1,BRED,2017-11-16
9856,2,BRED,2018-08-09
9859,3,BRED,2019-07-07
9864,2,BRED,2018-08-10
9864,3,BRED,2019-08-30
9866,2,BRED,2018-08-27
9868,2,BRED,2018-09-02
9878,2,BRED,2018-09-19
9879,2,BRED,2018-08-13
9879,3,BRED,2019-09-05
9880,1,BRED,2017-11-19
9880,2,BRED,2019-01-03
9884,2,BRED,2018-07-05
9885,1,BRED,2017-10-27
9886,2,BRED,2018-11-09
9894,2,BRED,2018-10-03
9895,2,BRED,2018-09-30
9896,1,BRED,2017-12-16
9896,2,BRED,2019-01-05
9902,1,BRED,2017-11-28
9903,3,BRED,2019-07-29
9904,2,BRED,2018-08-15
9907,2,BRED,2018-07-28
9909,2,BRED,2018-09-26
9912,2,BRED,2018-09-09
9914,2,BRED,2018-11-20
9915,2,BRED,2018-08-09
9918,2,BRED,2018-08-24
9932,2,BRED,2018-08-11
9936,2,BRED,2018-08-11
9938,1,BRED,2017-10-10
9956,1,BRED,2017-09-03
9957,3,BRED,2019-07-18
9965,1,BRED,2017-11-18
9965,2,BRED,2018-12-09
9968,1,BRED,2017-11-29
9968,2,BRED,2019-01-11
9970,1,BRED,2018-01-01
9971,2,BRED,2018-09-15
9973,3,BRED,2019-08-04
9978,1,BRED,2018-01-01
9980,1,BRED,2017-11-16
9980,2,BRED,2018-12-05
9981,1,BRED,2018-02-25
9981,2,BRED,2019-02-11
9983,1,BRED,2018-02-01
9983,2,BRED,2019-04-12
9984,2,BRED,2018-11-02
9986,1,BRED,2017-10-26
9987,2,BRED,2018-10-03
9988,2,BRED,2018-10-18
9989,2,BRED,2018-09-29
9994,2,BRED,2018-09-12
9994,3,BRED,2019-09-05
9997,2,BRED,2018-09-09
10000,2,BRED,2018-09-18
